"country_name","code","year","v2x_polyarchy","v2cscnsult","total_financement","ffuel","gini_index","ambition"
"Mexico","MEX",2015,0.636,0.244,396.411952,1.69166407718523,NA,"2.8"
"Suriname","SUR",2015,0.773,0.896,39.722648,2.54005497064637,NA,"5.1"
"Sweden","SWE",2015,0.921,2.047,NA,0.0096049689495981,29.2,"2.7"
"Switzerland","CHE",2015,0.908,3.587,NA,0.0001250641115047,32.3,"1.6"
"Ghana","GHA",2015,0.745,1.311,28.264614,1.37565681725432,NA,"1.2"
"South Africa","ZAF",2015,0.741,1.083,313.337846,1.71090661172216,NA,"5.1"
"Japan","JPN",2015,0.832,1.187,NA,0.0098396006936829,NA,"4.3"
"Burma/Myanmar","MMR",2015,0.375,0.003,NA,NA,NA,NA
"Russia","RUS",2015,0.269,-0.728,NA,NA,NA,NA
"Albania","ALB",2015,0.509,0.315,3.13374,1.47770182462625,32.8,"NA"
"Egypt","EGY",2015,0.156,-1.945,512.133274,NA,NA,"3.3"
"Yemen","YEM",2015,0.183,-1.348,2.477736,NA,NA,"1.2"
"Colombia","COL",2015,0.673,1.394,1659.108074,3.35274122870808,51,"2.6"
"Poland","POL",2015,0.873,1.038,NA,0.299357241729712,31.8,"3.7"
"Brazil","BRA",2015,0.869,2.7,1135.892298,1.09383746591687,51.9,"3.7"
"United States of America","USA",2015,0.901,3.236,NA,NA,NA,"4"
"Portugal","PRT",2015,0.891,2.435,NA,0.0246227517816,35.5,"4.1"
"Bangladesh","BGD",2015,0.284,1.201,1061.827258,0.690341359339319,NA,"1.2"
"Bolivia","BOL",2015,0.618,1.655,161.638996,3.47881266747171,46.7,NA
"Haiti","HTI",2015,0.404,0.501,98.8655,0,NA,"1.2"
"Honduras","HND",2015,0.442,1.24,288.6561,0,49.2,"1.3"
"Mali","MLI",2015,0.561,2.407,169.829068,0,NA,"1.2"
"Pakistan","PAK",2015,0.438,1.152,226.88304,1.01329195400707,31.3,"1.2"
"Peru","PER",2015,0.803,1.616,387.728664,0.490644344894569,43.4,"1.2"
"Senegal","SEN",2015,0.713,1.203,302.983332,0.0079953009109831,NA,"1.2"
"South Sudan","SSD",2015,0.171,-0.475,2.508316,10.3913729191421,NA,"3.4"
"Sudan","SDN",2015,0.252,-0.58,2.747182,0.798069583603201,NA,"1.7"
"Vietnam","VNM",2015,0.15,0.821,NA,NA,NA,NA
"Afghanistan","AFG",2015,0.376,1.767,45.254784,0.178993251853856,NA,"NA"
"Argentina","ARG",2015,0.777,1.041,0.918516,0.94081892555828,NA,"5.1"
"Ethiopia","ETH",2015,0.229,-0.524,442.667702,0.0028568298955423,35,"1.2"
"India","IND",2015,0.542,0.589,2257.94828,1.19672985757541,34.7,"2.6"
